,categories,cuisine
8121,"Food, American (New), Salad, French, Restaurants, Desserts",European Cuisine
8122,"Seafood, Soul Food, Breakfast & Brunch, Restaurants",American Cuisine
8123,"Dominican, Caribbean, Breakfast & Brunch, Restaurants, Latin American",South American Cuisine
8124,"Bakeries, Vegan, Coffee & Tea, Food, Cafes, Restaurants",Unknown
8125,"Restaurants, Food Court, Sandwiches",Unknown
8126,"Fast Food, Food Trucks, Food, American (New), Restaurants, American (Traditional), Comfort Food",American Cuisine
8127,"Ethnic Food, Specialty Food, Restaurants, Food, Vietnamese",Asian Cuisine
8128,"Dim Sum, Restaurants, Noodles, Chinese, Seafood",Asian Cuisine
8129,"Tacos, American (Traditional), Caribbean, Restaurants, Mexican",South American Cuisine
8130,"Pretzels, Food, Bakeries, Desserts, Restaurants, Fast Food",European Cuisine
8131,"Szechuan, Restaurants, Vegetarian, Chinese",Asian Cuisine
8132,"Tacos, Tex-Mex, Mexican, Restaurants",South American Cuisine
8133,"Cafes, Comfort Food, Restaurants",Unknown
8134,"Tex-Mex, Restaurants, Breakfast & Brunch, Tacos, Mexican, Fast Food",South American Cuisine
8135,"Sandwiches, Pizza, Cheesesteaks, Steakhouses, Restaurants",European Cuisine
8136,"Restaurants, Thai, Food, Desserts, Salad",Asian Cuisine
8137,"Burgers, American (Traditional), Restaurants, Diners, Breakfast & Brunch",American Cuisine
8138,"Coffee & Tea, Food, Bakeries, Sandwiches, Middle Eastern, Restaurants",Middle Eastern / African Cuisine
8139,"Food, Burgers, American (Traditional), Ice Cream & Frozen Yogurt, Restaurants, Fast Food",American Cuisine
8140,"Restaurants, Tacos, Fast Food, Breakfast & Brunch, Mexican, Tex-Mex",South American Cuisine
8141,"Breakfast & Brunch, Restaurants, Burgers, Fast Food, American (Traditional), Diners",American Cuisine
8142,"Specialty Food, Grocery, Meat Shops, Food, Restaurants, Beer, Wine & Spirits, Delis",Unknown
8143,"Food, Restaurants, Pakistani, Indian",Asian Cuisine
8144,"Restaurants, Fast Food, Sandwiches, Burgers",American Cuisine
8145,"Restaurants, Czech, Mediterranean, Cafes, Italian, American (New)",European Cuisine
8146,"Food, Vegetarian, Pop-Up Restaurants, Burgers, Restaurants, Food Trucks",American Cuisine
8147,"Sandwiches, Pizza, Italian, Restaurants, Cheesesteaks",European Cuisine
8148,"Soup, Sandwiches, Restaurants, Breakfast & Brunch, Cafes",American Cuisine
8149,"Tex-Mex, Restaurants, Mexican, Vegetarian",South American Cuisine
8150,"Hungarian, Restaurants, Food, Italian, French, Bakeries",European Cuisine
8151,"Poutineries, Canadian (New), Restaurants, Fast Food",American Cuisine
8152,"Italian, Sandwiches, Restaurants, Salad, Pizza, Chicken Wings",European Cuisine
8153,"Irish, Breakfast & Brunch, Restaurants",American Cuisine
8154,"Breakfast & Brunch, Restaurants, Sandwiches, Cuban, Food",South American Cuisine
8155,"Restaurants, Donuts, American (Traditional), Food, Burgers, Breakfast & Brunch",American Cuisine
8156,"Delis, Sandwiches, Comfort Food, Cafes, Restaurants",Unknown
8157,"Mexican, Fast Food, Tacos, Restaurants, Breakfast & Brunch, Tex-Mex",South American Cuisine
8158,"Food, Sandwiches, Southern, American (Traditional), Restaurants",American Cuisine
8159,"Fast Food, American (Traditional), Restaurants",American Cuisine
8160,"Restaurants, Vegetarian, Cafes, Vegan, Food, Coffee & Tea",Unknown
8161,"Breakfast & Brunch, Cafes, Delis, Food, Coffee & Tea, Restaurants, Sandwiches",American Cuisine
8162,"Restaurants, Bakeries, Food, Comfort Food, Asian Fusion, Pizza, Specialty Food, Indonesian, Desserts",Asian Cuisine
8163,"American (New), Restaurants, American (Traditional), Italian",European Cuisine
8164,"American (New), Sandwiches, Restaurants, Vegetarian",American Cuisine
8165,"Italian, Restaurants, Delis, Salad, Sandwiches",European Cuisine
8166,"American (Traditional), American (New), French, Restaurants",European Cuisine
8167,"Herbs & Spices, Specialty Food, International Grocery, Fast Food, Food, Restaurants",American Cuisine
8168,"Food, Beer, Wine & Spirits, Specialty Food, Delis, Grocery, Restaurants",Unknown
8169,"Buffets, Restaurants, Asian Fusion",Asian Cuisine
8170,"Breakfast & Brunch, Delis, Sandwiches, Food, Coffee & Tea, Bakeries, Donuts, Restaurants, Salad, Bagels",American Cuisine
8171,"Restaurants, Breakfast & Brunch, Tex-Mex, Tacos, Fast Food, Mexican",South American Cuisine
8172,"Restaurants, Italian, Sandwiches, Burgers, Pizza, Chicken Wings, Salad",European Cuisine
8173,"Fast Food, Burgers, Restaurants, Food, Coffee & Tea",American Cuisine
8174,"Pizza, Restaurants, Chicken Wings, Fast Food, Italian",European Cuisine
8175,"Fast Food, Chicken Wings, American (New), Restaurants, Chicken Shop",American Cuisine
8176,"Fast Food, Food, Restaurants, Salad, Burgers, Hot Dogs",American Cuisine
8177,"Restaurants, Mexican, Grocery, Butcher, Food",South American Cuisine
8178,"Fast Food, Southern, Chicken Wings, American (Traditional), Restaurants",American Cuisine
8179,"Italian, Pizza, Restaurants, Salad, Sandwiches",European Cuisine
8180,"Restaurants, American (Traditional), Caribbean",South American Cuisine
8181,"Restaurants, Seafood, Hawaiian, Poke, Food",Asian Cuisine
8182,"Seafood, Cajun/Creole, American (Traditional), Restaurants, Fast Food, Food, Chicken Wings, Desserts",American Cuisine
8183,"Street Vendors, Restaurants, Food, Hot Dogs, Mexican",South American Cuisine
8184,"Restaurants, Vegan, Indonesian, Vegetarian",Asian Cuisine
8185,"Restaurants, American (New), Seafood",American Cuisine
8186,"Middle Eastern, Salad, Mediterranean, Falafel, Restaurants",Middle Eastern / African Cuisine
8187,"Food, Restaurants, Salad, Breakfast & Brunch, Coffee & Tea",American Cuisine
8188,"Pizza, Sandwiches, Gluten-Free, Italian, Restaurants",European Cuisine
8189,"Seafood, Italian, Steakhouses, Restaurants",European Cuisine
8190,"African, Restaurants, Food",Middle Eastern / African Cuisine
8191,"Restaurants, Breakfast & Brunch, Diners, American (New), Cafes",American Cuisine
8192,"Restaurants, Pizza, Sandwiches, Burgers",European Cuisine
8193,"Delis, Grocery, Ethnic Food, Specialty Food, Food, Greek, Restaurants",European Cuisine
8194,"Food, Coffee & Tea, Desserts, Restaurants, Breakfast & Brunch, Cafes",American Cuisine
8195,"Spanish, Cuban, Restaurants",South American Cuisine
8196,"Cafes, Restaurants, Sandwiches, Breakfast & Brunch",American Cuisine
8197,"Delis, Restaurants, Pizza",European Cuisine
8198,"Restaurants, Breakfast & Brunch, Soup, Sandwiches",American Cuisine
8199,"Food, Restaurants, Coffee & Tea, Donuts, Sandwiches",American Cuisine
8200,"Restaurants, Grocery, Food, Delis, Beer, Wine & Spirits",Unknown
8201,"Burgers, Diners, Restaurants, Breakfast & Brunch",American Cuisine
8202,"American (New), Chicken Wings, Middle Eastern, Salad, Restaurants, Sandwiches, Greek",Middle Eastern / African Cuisine
8203,"African, Caribbean, Senegalese, Restaurants",South American Cuisine
8204,"Restaurants, Food, Ethnic Food, Specialty Food, Mexican",South American Cuisine
8205,"Vegan, Vegetarian, Buffets, Indian, Restaurants",Asian Cuisine
8206,"American (New), Restaurants, Cafes, Salad, Sandwiches, Pizza",European Cuisine
8207,"Latin American, Restaurants, Grocery, Imported Food, Food",South American Cuisine
8208,"Food, Sandwiches, Bakeries, Restaurants",Unknown
8209,"French, Restaurants, American (New), Italian",European Cuisine
8210,"Chicken Shop, Fast Food, Chicken Wings, Restaurants",American Cuisine
8211,"American (New), Delis, Restaurants, Greek",European Cuisine
8212,"Food Trucks, Food Stands, Restaurants, Spanish, Venezuelan, Food, Gluten-Free, Vegetarian, Latin American",South American Cuisine
8213,"Delis, Restaurants, Bagels, Food",Unknown
8214,"Cafes, Restaurants, Coffee & Tea, American (New), Food, Breakfast & Brunch",American Cuisine
8215,"Restaurants, Food Trucks, Korean, Food",Asian Cuisine
8216,"Restaurants, Bakeries, Food, Coffee & Tea, Patisserie/Cake Shop",Unknown
8217,"American (Traditional), Wraps, Restaurants, Hot Dogs, Sandwiches",American Cuisine
8218,"Vegetarian, Food, Food Trucks, Restaurants, Street Vendors",Unknown
8219,"Food, Sandwiches, Restaurants, Salad, American (Traditional), Specialty Food, Health Markets, Soup",American Cuisine
8220,"Burgers, Pizza, Restaurants, Italian",European Cuisine
8221,"Fast Food, American (Traditional), Restaurants, Burgers",American Cuisine
8222,"Latin American, Restaurants, Tex-Mex, Mexican, Ice Cream & Frozen Yogurt, Food",South American Cuisine
8223,"American (Traditional), Pizza, Restaurants, Gluten-Free",European Cuisine
8224,"Asian Fusion, Chinese, Hot Pot, Restaurants",Asian Cuisine
8225,"Canadian (New), American (New), Restaurants, Diners, Breakfast & Brunch, American (Traditional)",American Cuisine
8226,"Seafood, Salad, Sandwiches, Restaurants, Cajun/Creole, Live/Raw Food",American Cuisine
8227,"Egyptian, Restaurants, Mediterranean, Halal, Middle Eastern",Middle Eastern / African Cuisine
8228,"Chinese, Hot Pot, Restaurants",Asian Cuisine
8229,"Restaurants, Salad, Breweries, Food, Sandwiches, American (New)",American Cuisine
8230,"Food, Restaurants, Breweries, Comfort Food, Brewpubs, Breakfast & Brunch, Gastropubs",American Cuisine
8231,"Fast Food, Vietnamese, Restaurants, Asian Fusion, Chinese, Bubble Tea, Food",Asian Cuisine
8232,"Restaurants, Indonesian",Asian Cuisine
8233,"American (Traditional), Restaurants, Sandwiches, Breakfast & Brunch, Cheesesteaks, Steakhouses, Diners",American Cuisine
8234,"Beauty & Spas, Eyelash Service, Chinese, Restaurants",Asian Cuisine
8235,"Restaurants, International Grocery, Mexican, Food",South American Cuisine
8236,"American (Traditional), Breakfast & Brunch, Restaurants, Diners, Comfort Food",American Cuisine
8237,"Fast Food, Coffee & Tea, Burgers, Food, Restaurants",American Cuisine
8238,"Restaurants, Burgers, American (Traditional), Chicken Wings",American Cuisine
8239,"Burgers, Chicken Wings, Hot Dogs, Restaurants",American Cuisine
8240,"Tacos, Tex-Mex, Restaurants, Breakfast & Brunch, Mexican, Fast Food",South American Cuisine
8241,"Food Stands, Restaurants, Hot Dogs",American Cuisine
8242,"Noodles, Chinese, Soup, Restaurants",Asian Cuisine
8243,"Kebab, Indian, Restaurants",Asian Cuisine
8244,"Restaurants, Italian, Chicken Wings, Pizza",European Cuisine
8245,"Venezuelan, Restaurants, Latin American",South American Cuisine
8246,"Breakfast & Brunch, Delis, Restaurants, Diners, American (Traditional)",American Cuisine
8247,"Bakeries, Coffee & Tea, Food, Restaurants, Cafes",Unknown
8248,"Restaurants, Food, Specialty Food, Fast Food, Asian Fusion, Chinese",Asian Cuisine
8249,"Chinese, Korean, Vietnamese, Restaurants",Asian Cuisine
8250,"Salad, Burgers, Chicken Wings, Restaurants",American Cuisine
8251,"Salad, Buffets, Soup, Vegetarian, Restaurants, Sandwiches",Unknown
8252,"Mexican, Fast Food, Tex-Mex, Restaurants",South American Cuisine
8253,"Asian Fusion, Chinese, Restaurants, Seafood, Dim Sum",Asian Cuisine
8254,"Food, Restaurants, Seafood, Specialty Food, Seafood Markets",Unknown
8255,"Latin American, Venezuelan, Restaurants",South American Cuisine
8256,"Soup, Salad, Restaurants, Coffee & Tea, Sandwiches, Food",Unknown
8257,"Restaurants, Diners, Delis",American Cuisine
8258,"Burgers, Restaurants, Food, American (Traditional), Sandwiches",American Cuisine
8259,"Gluten-Free, Vegan, Restaurants",Unknown
8260,"Salad, Modern European, Soup, Restaurants, Czech, German",European Cuisine
8261,"Restaurants, Chicken Wings, Pizza, Fast Food, Italian",European Cuisine
8262,"Restaurants, Seafood, Sandwiches, Burgers",American Cuisine
8263,"Tex-Mex, Tacos, Fast Food, Breakfast & Brunch, Restaurants, Mexican",South American Cuisine
8264,"Restaurants, Food, Ice Cream & Frozen Yogurt, Donuts",American Cuisine
8265,"Restaurants, Food, Breakfast & Brunch, American (Traditional), Bakeries, Donuts",American Cuisine
8266,"Tacos, Mexican, Caribbean, Chicken Wings, Restaurants",South American Cuisine
8267,"Beer, Wine & Spirits, Food, Desserts, Breakfast & Brunch, Diners, Restaurants",American Cuisine
8268,"Bakeries, Restaurants, Bagels, Food, Donuts",American Cuisine
8269,"Bagels, Breakfast & Brunch, Diners, Salad, Restaurants, American (New), Food",American Cuisine
8270,"Breakfast & Brunch, Coffee Roasteries, Cafes, Bakeries, Coffee & Tea, Food, Restaurants",American Cuisine
8271,"Restaurants, Breakfast & Brunch, Sandwiches, Seafood, Cafes",American Cuisine
8272,"Food, Food Trucks, Restaurants, Sandwiches, Korean",Asian Cuisine
8273,"Food, Cafes, Coffee & Tea, Bakeries, Bagels, Restaurants",Unknown
8274,"Pizza, Ethnic Food, Food, Italian, Sandwiches, Restaurants, Specialty Food, International Grocery",European Cuisine
8275,"Bakeries, Desserts, Bubble Tea, Coffee & Tea, Restaurants, Breakfast & Brunch, Food",American Cuisine
8276,"Sandwiches, Salad, Restaurants, Pizza",European Cuisine
8277,"Restaurants, Food, Food Trucks, Pizza",European Cuisine
8278,"American (Traditional), Restaurants, Cafes, Breakfast & Brunch",American Cuisine
8279,"American (New), Burgers, Restaurants, American (Traditional), Breakfast & Brunch",American Cuisine
8280,"Food, Cafes, Restaurants, Creperies, Ice Cream & Frozen Yogurt",European Cuisine
8281,"Restaurants, Food, Asian Fusion, Food Trucks",Asian Cuisine
8282,"Restaurants, Buffets, Breakfast & Brunch, Seafood",American Cuisine
8283,"Cuban, Latin American, Restaurants, Peruvian",South American Cuisine
8284,"Coffee & Tea, Restaurants, Desserts, Food, American (New), Sandwiches, Breakfast & Brunch, Delis",American Cuisine
8285,"Bagels, Food, Delis, Sandwiches, Specialty Food, Meat Shops, Restaurants, Burgers",American Cuisine
8286,"Restaurants, Sandwiches, Cheesesteaks, Italian",European Cuisine
8287,"Restaurants, Tex-Mex",Unknown
8288,"American (Traditional), Mexican, Restaurants",South American Cuisine
8289,"Ice Cream & Frozen Yogurt, Burgers, Restaurants, Food, American (Traditional)",American Cuisine
8290,"Cafes, Restaurants, Comfort Food",Unknown
8291,"Chinese, American (New), Restaurants",Asian Cuisine
8292,"Salad, Seafood, Food, Specialty Food, Sandwiches, Restaurants, Seafood Markets",Unknown
8293,"Restaurants, Latin American, Food, American (New)",South American Cuisine
8294,"Desserts, Restaurants, Soul Food, Food, Chicken Wings",Unknown
8295,"Burgers, Restaurants, Food, American (New)",American Cuisine
8296,"Tex-Mex, Fast Food, Tacos, Restaurants, Mexican, Breakfast & Brunch",South American Cuisine
8297,"Restaurants, Pizza, Sandwiches, Greek",European Cuisine
8298,"Food, Delis, Automotive, Gas Stations, Restaurants, Coffee & Tea, Sandwiches",Unknown
8299,"American (Traditional), Cajun/Creole, Fast Food, Chicken Wings, Restaurants",American Cuisine
8300,"Mexican, Coffee & Tea, Restaurants, Food, Latin American",South American Cuisine
8301,"American (New), Restaurants, Salad, Pizza",European Cuisine
8302,"Modern European, Belgian, Italian, Restaurants",European Cuisine
8303,"Pizza, Gluten-Free, Restaurants, Salad, Fast Food",European Cuisine
8304,"Mexican, Vegetarian, Sandwiches, Burgers, Restaurants",South American Cuisine
8305,"Salvadoran, Restaurants, Latin American, Mexican",South American Cuisine
8306,"American (New), Italian, Restaurants, Sandwiches",European Cuisine
8307,"Thai, Japanese, Chinese, Restaurants",Asian Cuisine
8308,"Restaurants, Pizza, Fast Food, Chicken Wings",European Cuisine
8309,"Chicken Shop, Fast Food, Restaurants",American Cuisine
8310,"Seafood, Restaurants, Breakfast & Brunch, American (New)",American Cuisine
8311,"American (Traditional), Fast Food, Restaurants, Burgers",American Cuisine
8312,"Bagels, Restaurants, Food, Sandwiches, Coffee & Tea, Donuts",American Cuisine
8313,"Food, Grocery, Delis, Bakeries, Restaurants",Unknown
8314,"Restaurants, Seafood, Japanese",Asian Cuisine
8315,"Salad, Restaurants, Grocery, Bakeries, Food, Delis, Sandwiches",Unknown
8316,"Desserts, Restaurants, Food, Breakfast & Brunch, Delis, Food Trucks",American Cuisine
8317,"Food, Coffee Roasteries, Restaurants, Coffee & Tea, Salad, Sandwiches",Unknown
8318,"Fast Food, Seafood, American (Traditional), Restaurants, Fish & Chips",American Cuisine
8319,"Desserts, Restaurants, Seafood, Salad, Food, American (New), American (Traditional)",American Cuisine
8320,"Sandwiches, Soup, Food, Breakfast & Brunch, Bagels, Salad, Delis, Restaurants, Bakeries",American Cuisine
8321,"American (Traditional), Restaurants, Burgers, Hot Dogs",American Cuisine
8322,"Fish & Chips, Food, Seafood Markets, Seafood, Restaurants, Specialty Food",Unknown
8323,"Greek, Pizza, Restaurants, Sandwiches, Mediterranean",European Cuisine
8324,"American (Traditional), Ice Cream & Frozen Yogurt, Food, Sandwiches, Restaurants",American Cuisine
8325,"Restaurants, Turkish, Cafes, Pizza, Mediterranean",Middle Eastern / African Cuisine
8326,"American (New), Restaurants, Burgers, Breakfast & Brunch",American Cuisine
8327,"Burgers, American (New), Steakhouses, Breakfast & Brunch, Fast Food, American (Traditional), Diners, Restaurants",American Cuisine
8328,"Food, Restaurants, Hot Dogs, Pretzels, Bakeries",European Cuisine
8329,"Vegetarian, Soup, Noodles, Restaurants, Vietnamese, Vegan",Asian Cuisine
8330,"Fast Food, Food, Ice Cream & Frozen Yogurt, Restaurants",American Cuisine
8331,"Restaurants, Southern, American (New), Soul Food",American Cuisine
8332,"Restaurants, Seafood, Chinese, Soup",Asian Cuisine
8333,"American (New), Burgers, American (Traditional), Breakfast & Brunch, Restaurants",American Cuisine
8334,"Bakeries, Sandwiches, Cafes, Restaurants, Food",Unknown
8335,"Food, Delis, Sandwiches, Cheese Shops, Restaurants, Specialty Food",Unknown
8336,"Food, Fast Food, Indian, Restaurants, Food Trucks",Asian Cuisine
8337,"Sandwiches, Restaurants, American (New), Chicken Shop, Southern, Delis, Salad",American Cuisine
8338,"Chicken Wings, Desserts, Pizza, Restaurants, Food",European Cuisine
8339,"Delis, Restaurants, Cheesesteaks",American Cuisine
8340,"Cafes, Breakfast & Brunch, Bubble Tea, Restaurants, Food, Coffee & Tea",American Cuisine
8341,"Restaurants, Seafood, Chicken Wings, Fast Food, Southern",American Cuisine
8342,"Breakfast & Brunch, Restaurants, Local Flavor, Food",American Cuisine
8343,"Creperies, Breakfast & Brunch, Sandwiches, Restaurants, Soup, Burgers",European Cuisine
8344,"Asian Fusion, Korean, Restaurants, Chicken Wings",Asian Cuisine
8345,"Salad, Food, Restaurants, Breakfast & Brunch, Bagels, Bakeries, Soup, Sandwiches",American Cuisine
8346,"Restaurants, Tex-Mex, Tacos, Fast Food, Breakfast & Brunch, Mexican",South American Cuisine
8347,"American (Traditional), Sandwiches, Restaurants, Salad",American Cuisine
8348,"Burgers, Fast Food, Food, Restaurants, Ice Cream & Frozen Yogurt",American Cuisine
8349,"Tex-Mex, Restaurants, Mexican, Tacos, Fast Food, Breakfast & Brunch",South American Cuisine
8350,"Restaurants, Food, Specialty Food, Soul Food, Ethnic Food",Unknown
8351,"Restaurants, Sandwiches, American (Traditional), Soul Food",American Cuisine
8352,"Restaurants, Shanghainese, Japanese, Taiwanese, Chinese, Vegan",Asian Cuisine
8353,"Japanese, Restaurants, Food",Asian Cuisine
8354,"Restaurants, American (Traditional), Seafood, Sandwiches, Steakhouses, American (New)",American Cuisine
8355,"Restaurants, Pizza, Burgers, Chicken Wings",European Cuisine
8356,"Mexican, Hot Dogs, Restaurants",South American Cuisine
8357,"American (Traditional), Chicken Shop, Southern, Restaurants, Chicken Wings",American Cuisine
8358,"Food, Food Trucks, American (New), Restaurants, Street Vendors",American Cuisine
8359,"Restaurants, Diners, Breakfast & Brunch, Cafes, American (Traditional)",American Cuisine
8360,"Restaurants, Education, Food, Cafes, Colleges & Universities, Bakeries",Unknown
8361,"Food Trucks, Food Stands, Italian, Pizza, Food, Restaurants",European Cuisine
8362,"Food, Chinese, Grocery, Cantonese, Restaurants",Asian Cuisine
8363,"Irish, Restaurants",Unknown
8364,"Delis, Food, Grocery, Beer, Wine & Spirits, Restaurants",Unknown
8365,"Breakfast & Brunch, Restaurants, Bakeries, Food",American Cuisine
8366,"Brazilian, Coffee & Tea, Food, Bakeries, Breakfast & Brunch, Restaurants",South American Cuisine
8367,"Bakeries, Local Flavor, Food, American (New), Restaurants, Desserts",American Cuisine
8368,"Spanish, Caribbean, Restaurants, Latin American, Food, Desserts",South American Cuisine
8369,"Bakeries, Coffee & Tea, Food, Sandwiches, Restaurants",Unknown
8370,"Restaurants, Pretzels, American (New), Bakeries, Food, Local Flavor",European Cuisine
8371,"Tex-Mex, Breakfast & Brunch, Fast Food, Tacos, Mexican, Restaurants",South American Cuisine
8372,"Restaurants, Ice Cream & Frozen Yogurt, Tapas/Small Plates, Food, Mexican",South American Cuisine
8373,"Desserts, Restaurants, Coffee & Tea, Food, Breakfast & Brunch",American Cuisine
8374,"Restaurants, Burgers, Food",American Cuisine
8375,"Soul Food, American (Traditional), Cafes, Restaurants, Southern",American Cuisine
8376,"Burgers, Restaurants, Food, Coffee & Tea, Fast Food",American Cuisine
8377,"American (New), Fast Food, Burgers, Restaurants",American Cuisine
8378,"Cafes, Restaurants, American (Traditional)",American Cuisine
8379,"Pizza, Delis, Restaurants, Food, Specialty Food, Meat Shops, Cafes, Burgers",European Cuisine
8380,"Seafood, Food, Specialty Food, Meat Shops, Restaurants, Seafood Markets",Unknown
8381,"American (New), Tapas/Small Plates, Restaurants",European Cuisine
8382,"Burgers, Restaurants, Sandwiches",American Cuisine
8383,"American (Traditional), Restaurants, Breakfast & Brunch, Diners, Comfort Food, Pizza",European Cuisine
8384,"Salad, Vegetarian, Vegan, Soup, Restaurants, American (New)",American Cuisine
8385,"American (Traditional), Fast Food, Restaurants",American Cuisine
8386,"Asian Fusion, Laotian, International Grocery, Grocery, Restaurants, Food, Thai, Bubble Tea",Asian Cuisine
8387,"Cafes, Food, Desserts, Coffee & Tea, Shaved Ice, Restaurants, Japanese, Ice Cream & Frozen Yogurt",Asian Cuisine
8388,"Vegetarian, Restaurants, Mediterranean",Unknown
8389,"Fast Food, Restaurants, American (Traditional), Sandwiches, Salad, Seafood, Chicken Wings, Food, Specialty Food",American Cuisine
8390,"Restaurants, Vegetarian, Indian, Tapas/Small Plates",Asian Cuisine
8391,"Bakeries, Restaurants, Food, Cafes, Coffee & Tea, Coffee Roasteries",Unknown
8392,"Food, Delis, Sandwiches, Restaurants",Unknown
8393,"Seafood, Restaurants, Food, Food Trucks",Unknown
8394,"Restaurants, Hot Dogs, Burgers, Fast Food, Food",American Cuisine
8395,"Desserts, American (Traditional), Restaurants, Food, Sandwiches, Pizza",European Cuisine
8396,"Breakfast & Brunch, Southern, Cafes, Restaurants, American (New)",American Cuisine
8397,"Restaurants, Soul Food, Seafood, Southern",American Cuisine
8398,"Chicken Wings, Ice Cream & Frozen Yogurt, Restaurants, Pizza, Food",European Cuisine
8399,"Desserts, Restaurants, Food, Cafes",Unknown
8400,"Desserts, Restaurants, Diners, Food, Sandwiches, Breakfast & Brunch",American Cuisine
8401,"Donuts, Coffee & Tea, Food, Restaurants",American Cuisine
8402,"Restaurants, Southern, Burgers",American Cuisine
8403,"Coffee & Tea, Salad, Restaurants, Modern European, Cafes, Food, Comfort Food",European Cuisine
8404,"Cheesesteaks, Steakhouses, Sandwiches, Restaurants",American Cuisine
8405,"Restaurants, American (Traditional), American (New), Seafood",American Cuisine
8406,"Chicken Wings, Restaurants, Chicken Shop, Wraps, Sandwiches",Unknown
8407,"Bakeries, Desserts, Food, Cafes, Restaurants",Unknown
8408,"Restaurants, Breakfast & Brunch, American (Traditional), Mexican",South American Cuisine
8409,"Pizza, Soup, Salad, Restaurants, Gluten-Free",European Cuisine
8410,"Diners, Salad, American (Traditional), Breakfast & Brunch, Restaurants",American Cuisine
8411,"Food, Food Trucks, Sandwiches, Restaurants, Breakfast & Brunch",American Cuisine
8412,"Desserts, Salad, Restaurants, Food, Pizza",European Cuisine
8413,"American (Traditional), Coffee & Tea, Food, Restaurants, Breakfast & Brunch, Cafes",American Cuisine
8414,"Fast Food, Restaurants, Pizza, Salad",European Cuisine
8415,"Food, Restaurants, American (Traditional), Beer, Wine & Spirits",American Cuisine
8416,"Pizza, Mediterranean, Sandwiches, Breakfast & Brunch, Restaurants, Greek",European Cuisine
8417,"Restaurants, Burgers, Halal, Cheesesteaks, Sandwiches",Middle Eastern / African Cuisine
8418,"Restaurants, Breakfast & Brunch, Mediterranean, Diners, Middle Eastern",Middle Eastern / African Cuisine
8419,"Sandwiches, Pizza, Fast Food, Italian, Restaurants",European Cuisine
8420,"Pizza, Delis, Restaurants, Salad",European Cuisine
8421,"Tacos, Food Stands, Restaurants, Mexican",South American Cuisine
8422,"American (Traditional), American (New), Restaurants, Asian Fusion",Asian Cuisine
8423,"Meat Shops, Restaurants, Specialty Food, Italian, Food, Sandwiches, Fast Food",European Cuisine
8424,"Hot Dogs, Restaurants, American (Traditional), Diners, Food, Ice Cream & Frozen Yogurt",American Cuisine
8425,"American (Traditional), Restaurants, Fast Food, Seafood, Fish & Chips",American Cuisine
8426,"Soup, Restaurants, Salad, Breakfast & Brunch, Chicken Wings",American Cuisine
8427,"Food, Restaurants, Ice Cream & Frozen Yogurt, Tacos, Mexican",South American Cuisine
8428,"American (Traditional), Cafes, Restaurants, Burgers",American Cuisine
8429,"Restaurants, Cafes, Sandwiches",Unknown
8430,"Seafood, Steakhouses, Restaurants, American (Traditional)",American Cuisine
8431,"American (New), Food, Restaurants, Fast Food, Burgers",American Cuisine
8432,"Restaurants, Ice Cream & Frozen Yogurt, Food, American (New), Sandwiches, American (Traditional)",American Cuisine
8433,"Breakfast & Brunch, Diners, Restaurants",American Cuisine
8434,"Salad, Burgers, Breakfast & Brunch, Restaurants, Southern",American Cuisine
8435,"Cafes, American (Traditional), Bakeries, Restaurants, Diners, Food",American Cuisine
8436,"Halal, Restaurants, Middle Eastern, Mediterranean",Middle Eastern / African Cuisine
8437,"Sandwiches, Restaurants, Salad",Unknown
8438,"Restaurants, Asian Fusion, Thai, Chinese, Japanese",Asian Cuisine
8439,"Chinese, Asian Fusion, Restaurants, Gluten-Free",Asian Cuisine
8440,"Grocery, Food, Mexican, Restaurants",South American Cuisine
8441,"Food, Restaurants, Sandwiches, Fast Food, Cheesesteaks",American Cuisine
8442,"Cuban, Diners, Restaurants",South American Cuisine
8443,"Restaurants, French, Mexican, Spanish",South American Cuisine
8444,"Food Stands, Specialty Food, Street Vendors, Food Trucks, Restaurants, Food",Unknown
8445,"Chinese, Dim Sum, Seafood, Restaurants, Cantonese",Asian Cuisine
8446,"Breakfast & Brunch, Soul Food, Mexican, Restaurants, Tacos, American (Traditional)",South American Cuisine
8447,"Hawaiian, American (Traditional), Restaurants",American Cuisine
8448,"Noodles, Seafood, Thai, Restaurants",Asian Cuisine
8449,"Restaurants, Asian Fusion, Breakfast & Brunch, American (Traditional)",Asian Cuisine
8450,"Restaurants, Vietnamese, Asian Fusion",Asian Cuisine
8451,"Coffee & Tea, Sandwiches, Food, Restaurants",Unknown
8452,"Chinese, Asian Fusion, Fast Food, Restaurants",Asian Cuisine
8453,"Mexican, Tacos, Tex-Mex, Restaurants, Breakfast & Brunch, Fast Food",South American Cuisine
8454,"Restaurants, Spanish, Cuban",South American Cuisine
8455,"Sandwiches, American (New), Cafes, Breakfast & Brunch, Restaurants",American Cuisine
8456,"Food, Donairs, Poutineries, Restaurants",Unknown
8457,"Restaurants, Gluten-Free, Mediterranean, Vegan",Unknown
8458,"Southern, Pizza, Soul Food, Fish & Chips, Seafood, Restaurants",European Cuisine
8459,"Coffee & Tea, Restaurants, Mediterranean, Greek, Food",European Cuisine
8460,"Coffee & Tea, Restaurants, Bagels, Cafes, Food",Unknown
8461,"Burgers, Food, American (Traditional), Restaurants, Ice Cream & Frozen Yogurt",American Cuisine
